Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Joe Mixon;4018;2021;0;Swissguy;18970000,00 ;18970000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;1;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;2;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;3;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;4;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;5;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;6;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;7;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;8;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;9;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;10;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;11;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;12;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;13;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;14;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;15;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2021;16;Swissguy;18970000,00 ;18970000,00 ;1185625,00 ;1185625,00 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;0;Swissguy;18970000,00 ;23712500,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;1;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;2;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;3;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;4;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;5;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;6;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;7;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;8;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;9;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;10;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;11;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;12;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;13;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;14;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;15;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2022;16;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;0;Swissguy;18970000,00 ;23712500,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;1;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;2;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;3;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;4;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;5;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;6;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;7;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;8;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;9;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;10;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;11;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;12;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;13;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;14;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;15;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;16;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
