Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
A.J. Green;830;2021;0;Arneee;6745000 ;2840000 ;;;0,00 ;;Roster;;2021;;;;;;;
A.J. Green;830;2021;1;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;2;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;3;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;4;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;5;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;6;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;7;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;8;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;9;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;10;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;11;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;12;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;13;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;14;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;15;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
A.J. Green;830;2021;16;Arneee;6745000 ;2840000 ;421563 ;177500 ;0,00 ;16;Roster;;2021;;;;;;;
Austin Ekeler;4663;2021;0;Arneee;14700000 ;14700000 ;;;0,00 ;;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;1;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;2;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;3;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;4;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;5;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;6;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;7;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;8;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;9;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;10;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;11;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;12;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;13;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;14;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;15;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;16;Arneee;14700000 ;14700000 ;918750 ;918750 ;0,00 ;16;Roster;;2024;;;;;;;
Cam Newton;954;2021;0;Arneee;2349000 ;1740000 ;;;0,00 ;;Roster;;2023;;;;;;;
Cam Newton;954;2021;1;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;2;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;3;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;4;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;5;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;6;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;7;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;8;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;9;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;10;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;11;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;12;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;13;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;14;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;15;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;16;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Henry Ruggs III;6789;2021;0;Arneee;8890000 ;8890000 ;;;0,00 ;;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;1;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;2;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;3;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
